TITLE	WORDS	LINK
Government drops plans to stop paying coastguard volunteers	1037	https://www.bbc.co.uk/news/articles/c3r0djznqw2o
Teen hackers who live streamed cyber-attack on TfL jailed	1227	https://www.bbc.co.uk/news/articles/c4gyg0y6yg2o
Energy drinks to be banned for under-16s in England from April	536	https://www.bbc.co.uk/news/articles/czrjg0jxkpno
TikTok faces Ofcom investigation over child age checks	798	https://www.bbc.co.uk/news/articles/ce8l1zk9dk9o
Teenagers from 15 should be given free MenB vaccine, say UK experts	1077	https://www.bbc.co.uk/news/articles/c74glj9zkzko
Heating oil customers to get compensation after price hikes	743	https://www.bbc.co.uk/news/articles/cy494yypnv3o
Aer Lingus proposes cutting 500 jobs under savings plan	545	https://www.bbc.co.uk/news/articles/ceqe52l4yr4o
Chip giant TSMC pledges another $100bn to expand US production	510	https://www.bbc.co.uk/news/articles/c62x8ldxr7eo
Don't panic - five ways to stop your kids' endless scrolling	952	https://www.bbc.co.uk/news/articles/c86e3q5j992o
Cash-strapped Thames Water poses big test for Burnham	821	https://www.bbc.co.uk/news/articles/c4gygy43103o
Salary information to be shown on job ads under new laws	532	https://www.bbc.co.uk/news/articles/ckg7gg2zdexo
Zelensky's removal of popular defence minister sparks protests in Ukraine	1118	https://www.bbc.co.uk/news/articles/cdx76069n3do
Children among dead at Algeria foster care home blaze - president	473	https://www.bbc.co.uk/news/articles/cvgwd4nz344o
'I looked into the river and saw all these dead fish'	1188	https://www.bbc.co.uk/news/articles/cgev4yg9d13o
Climate we had in 20th Century 'has now gone' - Met Office	659	https://www.bbc.co.uk/news/articles/c802041g4v8o
How my period is supercharging my ADHD	1047	https://www.bbc.co.uk/news/articles/czj8zp9e084o
People in 50s urged to complete bowel cancer screening	511	https://www.bbc.co.uk/news/articles/cql1n6gl273o
Covid inquiry PPE report - key findings	800	https://www.bbc.co.uk/news/articles/c07y7zj43jmo
'Don't let blood be on your hands', mother tells inquiry	928	https://www.bbc.co.uk/news/articles/cn750184mkko
UK wasted £10bn on PPE that left NHS staff poorly protected, Covid inquiry finds	1005	https://www.bbc.co.uk/news/articles/czrxrlydyzzo
UK begins trials of Ebola vaccine developed in just eight weeks	957	https://www.bbc.co.uk/news/articles/cpwep8xnkrqo
We are living fewer years in good health: Is the NHS part of the problem?	2364	https://www.bbc.co.uk/news/articles/c8r2nz82z3vo
A mayor in Japan announced her maternity leave - and got the whole country talking	1183	https://www.bbc.co.uk/news/articles/c1mykzj15xno
Teachers in England to get 3.5% pay rise	1039	https://www.bbc.co.uk/news/articles/cx2d41vlvzlo
The schools starting late after 01:00 England kick-off to 'reduce pressure' on parents	1274	https://www.bbc.co.uk/news/articles/c621j2qj50do
Exam board sorry for delay to Sats results in England	618	https://www.bbc.co.uk/news/articles/cewq7d4yxq2o
Free school meal pupils falling further behind their peers, report warns	709	https://www.bbc.co.uk/news/articles/cr7xgx831exo
Pupil put in isolation booth for more than half a school year, BBC learns	1493	https://www.bbc.co.uk/news/articles/c5yzlnp6p52o
School suspensions fall in England for the first time since Covid	813	https://www.bbc.co.uk/news/articles/c8j2d7v480eo
Number of children getting special educational needs support hits another record high	964	https://www.bbc.co.uk/news/articles/cj4g18gy14no
White working-class children failed by education system, says inquiry	1131	https://www.bbc.co.uk/news/articles/cq51j10q601o
More cows than pupils - what is behind mass school closures in rural Kenya?	1437	https://www.bbc.co.uk/news/articles/cy72mn3m7l3o
A smartphone ban in English schools is coming into force. What's changing?	901	https://www.bbc.co.uk/news/articles/cy8wjv3x81qo
Five tips to keep your kids cool in a heatwave	848	https://www.bbc.co.uk/news/articles/c862j9vy746o
Walk the Scottish coast that changed science	1480	https://www.bbc.com/travel/article/20260703-walk-the-scottish-coast-that-changed-science
How unhealthy air changes your body and mind	2105	https://www.bbc.com/future/article/20240213-unhealthy-air-how-pollution-changes-your-body-and-mind
